"Schoolid","School_Name","medium","Latitude","Longitude","shift","low_class","High_class","Z_ID","Zone_Name","D_ID","District_name","SchManagement","SchCategory"
"1001144","Shahadara, Gali Jain Mandir-Jain Sec. School","N/A","28.671841083873499","77.288312765086403","Morning","6","10","1001","Zone-01","10","East","Aided","Secondary Schools"
"1001145","Sanatan Dharam Sr. Sec. School shahdara","N/A","28.668021351141402","77.289843428495303","Morning","Nursery","12","1001","Zone-01","10","East","Aided","Sarvodaya Sr. Secondary Schools"
"1001146","Shahadara, Anaj Mandi-Lalita PD Arya Girls Sr. Sec. School","N/A","28.669518168677499","77.291363202809606","Morning","6","12","1001","Zone-01","10","East","Aided","Senior Secondary Schools"
"1001147","Shankar Nagar-Dav No. 2 Sr. Sec. School","N/A","28.6640102380793","77.272871236158196","Morning","6","12","1001","Zone-01","10","East","Aided","Senior Secondary Schools"
"1001148","Old Seelampur East-Nehru Adarh Sr. Sec. School","N/A","28.669432866661399","77.2771935860806","Morning","6","12","1001","Zone-01","10","East","Aided","Senior Secondary Schools"
"1001149","Shankar Nagar-R. A. Geeta Sr. Sec. School","N/A","28.663489619690701","77.272843433794804","Morning","6","12","1001","Zone-01","10","East","Aided","Senior Secondary Schools"
"1001150","Krishan Nagar-Ratan Devi Girls Sr. Sec. School","N/A","28.661590230401899","77.279557468394799","Morning","6","12","1001","Zone-01","10","East","Aided","Senior Secondary Schools"
"1001206","PREMALA BAI CHAVAN SCHOOL FOR THE DEAF","N/A","28.644727694162899","77.302807425614802","Morning","Nursery","8","1001","Zone-01","10","East","Aided","Sarvodaya Middle Schools"
"1002349","KERALA EDUCATION SOCIETY SENIOR SEC.SCHOOL","N/A","28.615311820576","77.340391860776293","Morning","6","12","1002","Zone-02","10","East","Aided","Senior Secondary Schools"
"1003196","Khurenji Khas-Alok Bharti Sec. School","N/A","28.643609127563099","77.279361594869698","Morning","6","10","1003","Zone-03","10","East","Aided","Secondary Schools"
"1003197","Gandhi Nagar-Dav No.1 Sr. Sec. School","N/A","28.665413381712899","77.264358310354993","Morning","6","12","1003","Zone-03","10","East","Aided","Senior Secondary Schools"
"1003198","Gandhi Nagar-Guru Nanak Girsl Sr. Sec. School","N/A","28.664492686953","77.261417129123799","Morning","6","12","1003","Zone-03","10","East","Aided","Senior Secondary Schools"
"1003199","Jagatpuri, Block-B-Mahamana Middle School","N/A","28.647925301562498","77.291777556030894","Morning","6","8","1003","Zone-03","10","East","Aided","Middle Schools"
"1003200","Geeta Colony-Goswami Ganesh Dutt Middle school","N/A","28.656684777088898","77.271878442252103","Morning","6","8","1003","Zone-03","10","East","Aided","Middle Schools"
"1003201","Kailash Nagar, Gli No. 2-Jain Kanya Middle School","N/A","28.666352726411699","77.257319104519297","Morning","6","8","1003","Zone-03","10","East","Aided","Middle Schools"
"1104159","Karwal Nagar-Alok Punj Sec. School","N/A","28.729988574016101","77.2720070332457","Morning","6","10","1104","Zone-04","11","North East","Aided","Secondary Schools"
"1104160","New Usmanpur-Vijay Jyoti Middle School","N/A","28.7056367672579","77.274746140587595","Morning","6","8","1104","Zone-04","11","North East","Aided","Middle Schools"
"1105135","Loni Road, Balbir Nagar-Arwachin Bharti Bhawann Sec. School","N/A","28.682787058138299","77.291925104247696","Morning","6","12","1105","Zone-05","11","North East","Aided","Senior Secondary Schools"
"1105137","Jafrabad, Main Road-Dr. Zakir Hussain Memo. Sr. Sec. School","N/A","28.681370479086901","77.273860281379896","Morning","6","12","1105","Zone-05","11","North East","Aided","Senior Secondary Schools"
"1106143","Moti Ram Memo. Girls Sr.Sec. School","N/A","28.685093268917601","77.322364860249195","Morning","6","12","1106","Zone-06","11","North East","Aided","Senior Secondary Schools"
"1106144","Shahadara, Mandoli Road-Nehru Memo Middle school","N/A","28.687674877278599","77.298239550124904","Morning","6","8","1106","Zone-06","11","North East","Aided","Middle Schools"
"1106266","Shahadara-Mukherjee Memo. Sr. Sec. School","N/A","28.684848260682099","77.322533075928206","Evening","6","12","1106","Zone-06","11","North East","Aided","Senior Secondary Schools"
"1207072","Shakti Nagar-Bhartiya Vidyalaya","N/A","28.680835633381498","77.188524600538102","Morning","6","8","1207","Zone-07","12","North","Aided","Middle Schools"
"1207131","Rajniwas Marg-B. M. Gange Sr. Sec. School","N/A","28.673602880267499","77.222091109652297","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207132","Bengali Boys Sr. Sec. School,Alipur Road","N/A","28.6803030035863","77.2215366565609","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207134","University Campus, Mourice N-University social center Sec. School","N/A","28.6873062081409","77.204763041940794","Morning","6","10","1207","Zone-07","12","North","Aided","Secondary Schools"
"1207135","Kamla Nagar-Birla Arya Girls Sr. Sec. School","N/A","28.679050931878798","77.202564008855305","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207136","Kamla Nagar-Birla Boys Sr. Sec. School","N/A","28.679161228506299","77.201852570205403","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207137","Boulevard Road-Butler Memo Sr. Sec. School","N/A","28.6693444368054","77.214997579939507","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207139","Roop Nagar-Dhanpat Mal Virmani Sr. Sec. School","N/A","28.686311973746001","77.202872555670794","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207140","Singh Sabha Road-Guru Nanak Girls Sr. Sec. School","N/A","28.6735309113329","77.203866412016197","Morning","Nursery","12","1207","Zone-07","12","North","Aided","Sarvodaya Sr. Secondary Schools"
"1207141","Kashmiri Gate-Happy Sr. Sec. School","N/A","null","null","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207142","Neo Arts Co-ed Middle School","N/A","28.71302","77.158752","Morning","6","8","1309","Zone-09","13","North West A","Aided","Middle Schools"
"1207144","Shakti Nagar-R. B. Ram Roop Vidya Mandir","N/A","28.676588901966401","77.190379767731102","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207145","Sabzi Mandi-Rawalpindi S. D. Sr. Sec. School","N/A","28.670597174836001","77.207656612059907","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207146","S. M. Jain Sr. Sec. School,B-Block,Shalimar Bagh","N/A","28.680826591866499","77.201381908119302","Morning","6","12","1309","Zone-09","13","North West A","Aided","Senior Secondary Schools"
"1207147","Rajniwas Marg-SS LT Gujrat Sr. Sec. School","N/A","28.6728003873958","77.224224323305606","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207148","Shakti Nagar-Sri Hanuman Mandir School","N/A","28.6791750352834","77.191937279467894","Morning","6","10","1207","Zone-07","12","North","Aided","Secondary Schools"
"1207221","Tees Hazari-Queen Marys Sr. Sec. School","N/A","28.665966246604199","77.213154672542302","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207222","Rajniwas Marg-The United Christian Sr. Sec. School","N/A","28.6736787525886","77.223532685918599","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207223","Rajpur Road-Victoria Sr. Sec. School","N/A","28.669007529242499","77.216585045747394","Morning","6","12","1207","Zone-07","12","North","Aided","Senior Secondary Schools"
"1207224","Sabzi Mandi-Sh. S.S.D. Jain Middle School","N/A","28.668012553557102","77.208355323525794","Morning","Nursery","8","1207","Zone-07","12","North","Aided","Sarvodaya Middle Schools"
"1208114","Teliwara-Arya Girls Sr. Sec. School","N/A","28.661653874578001","77.214933732099695","Morning","6","12","1208","Zone-08","12","North","Aided","Senior Secondary Schools"
"1208115","Bhagirath Place-B. N. Rastogi Sr. Sec. School","N/A","null","null","Morning","6","12","1208","Zone-08","12","North","Aided","Senior Secondary Schools"
"1208116","Pahari Dhiraj-Bansi Dhar Memo Sr. Sec. School","N/A","28.660098270418999","77.208294880808793","Morning","6","12","1208","Zone-08","12","North","Aided","Senior Secondary Schools"
"1208117","Kishan Ganj-D. C. M. Boys Sr. Sec. School","N/A","28.660395713593701","77.193996584549694","Evening","6","12","1208","Zone-08","12","North","Aided","Senior Secondary Schools"
"1208118","Kishan Ganj-D. C. M. Girls Sr. Sec. School","N/A","28.660425525651601","77.194058339745297","Morning","6","12","1208","Zone-08","12","North","Aided","Senior Secondary Schools"
